image,labels
000000000139.jpg,machine:0.7788;consumer_electronics:0.7788;television:0.7788;structure:0.7442;wood_processed:0.6567;interior_room:0.6557;living_room:0.6548;furniture:0.6063
000000000285.jpg,animal:0.9458;bear:0.9458;mammal:0.9458;grass:0.6240;land:0.6240;outdoor:0.6240;plant:0.0161;foliage:0.0161
000000000632.jpg,structure:0.9734;conveyance:0.8682;portal:0.8682;window:0.8682;bookshelf:0.8281;wood_processed:0.7642;furniture:0.7535;cabinet:0.7520
000000000724.jpg,outdoor:0.9472;sky:0.9422;blue_sky:0.8794;cloudy:0.8291;structure:0.7807;sign:0.7807;street_sign:0.7778;plant:0.6456
000000000776.jpg,stuffed_animals:0.9736;toy:0.9736;material:0.4788;textile:0.4788;clothing:0.0176;jeans:0.0176;structure:0.0173;wood_processed:0.0173
000000000785.jpg,recreation:0.9883;sport:0.9883;skiing:0.9507;winter_sport:0.9507;ski_equipment:0.9302;sports_equipment:0.9302;frozen:0.9141;liquid:0.9141
000000000802.jpg,structure:0.9386;cabinet:0.9238;furniture:0.9238;wood_processed:0.6470;appliance:0.6145;machine:0.6145;oven:0.5998;kitchen_oven:0.5996
000000000872.jpg,grass:0.9146;land:0.9146;outdoor:0.9146;recreation:0.8731;sport:0.8731;ballgames:0.8730;baseball:0.8730;clothing:0.6097
000000000885.jpg,recreation:0.9865;sport:0.9865;ballgames:0.9863;tennis:0.9863;people:0.5825;adult:0.5825;sports_equipment:0.3416;racquet:0.3416
000000001000.jpg,structure:0.8799;fence:0.8799;people:0.8784;child:0.7642;adult:0.7266;clothing:0.6556;headgear:0.6548;hat:0.6548
000000001268.jpg,people:0.8785;adult:0.8784;container:0.5063;luggage:0.5063;purse:0.4961;liquid:0.4633;water:0.4633;water_body:0.4633
000000001296.jpg,people:0.8604;adult:0.8604;machine:0.4075;dial:0.4038;timepiece:0.4038;watch:0.4038;art:0.3750;decoration:0.3750
000000001353.jpg,people:0.8324;child:0.8262;structure:0.6538;wood_processed:0.6538;adult:0.4043;clothing:0.1302;jacket:0.1294;music:0.1082
000000001425.jpg,tableware:0.8215;utensil:0.8215;plate:0.8213;bowl:0.1394;cup:0.1375;structure:0.1248;wood_processed:0.1216;food:0.1091
000000001490.jpg,people:0.8892;adult:0.8892;recreation:0.6383;sport:0.6383;sports_equipment:0.6371;liquid:0.5851;water:0.5851;water_body:0.5851
000000001503.jpg,computer:0.7720;consumer_electronics:0.7720;machine:0.7720;computer_monitor:0.7056;computer_keyboard:0.6128;structure:0.5670;conveyance:0.5444;portal:0.5444
000000001532.jpg,outdoor:0.9256;sky:0.9248;blue_sky:0.9248;structure:0.9038;bridge:0.7944;sign:0.7563;street_sign:0.7563;automobile:0.7425
000000001584.jpg,machine:0.9317;vehicle:0.9316;automobile:0.9316;bus:0.9316;outdoor:0.6172;land:0.6172;road:0.6144;street:0.6143
000000001675.jpg,animal:0.6397;cat:0.6397;feline:0.6397;mammal:0.6397;adult_cat:0.6396;computer:0.6234;consumer_electronics:0.6234;machine:0.6234
